time,bikeid,station_id,event
2015-02-01 00:00:00+00,17131,521,undock
2015-02-01 00:00:00+00,21289,497,undock
2015-02-01 00:01:00+00,18903,281,undock
2015-02-01 00:01:00+00,21044,2004,undock
2015-02-01 00:01:00+00,19868,323,undock
2015-02-01 00:02:00+00,15854,373,undock
2015-02-01 00:04:00+00,15173,352,undock
2015-02-01 00:04:00+00,17862,439,undock
2015-02-01 00:04:00+00,21183,335,undock
2015-02-01 00:05:00+00,14843,284,undock
2015-02-01 00:05:00+00,16936,284,undock
2015-02-01 00:05:00+00,21507,498,undock
2015-02-01 00:07:00+00,21289,504,dock
2015-02-01 00:07:00+00,17456,368,undock
2015-02-01 00:07:00+00,14679,326,undock
2015-02-01 00:08:00+00,21507,472,dock
2015-02-01 00:09:00+00,18978,285,undock
2015-02-01 00:10:00+00,19868,83,dock
2015-02-01 00:10:00+00,16496,368,undock
2015-02-01 00:13:00+00,17107,394,undock
2015-02-01 00:13:00+00,16984,326,undock
2015-02-01 00:14:00+00,17131,423,dock
2015-02-01 00:14:00+00,15854,2002,dock
2015-02-01 00:14:00+00,14679,2012,dock
2015-02-01 00:14:00+00,15997,493,undock
2015-02-01 00:15:00+00,21044,505,dock
2015-02-01 00:15:00+00,14843,444,dock
2015-02-01 00:15:00+00,16936,444,dock
2015-02-01 00:15:00+00,21516,445,undock
2015-02-01 00:16:00+00,15815,428,undock
2015-02-01 00:16:00+00,18727,228,undock
2015-02-01 00:16:00+00,14982,513,undock
2015-02-01 00:16:00+00,16391,507,undock
2015-02-01 00:16:00+00,15947,439,undock
2015-02-01 00:17:00+00,21183,2012,dock
2015-02-01 00:17:00+00,18978,212,dock
2015-02-01 00:17:00+00,16917,128,undock
2015-02-01 00:18:00+00,15924,490,undock
2015-02-01 00:18:00+00,21321,350,undock
2015-02-01 00:19:00+00,17862,116,dock
2015-02-01 00:19:00+00,16861,250,undock
2015-02-01 00:20:00+00,21289,504,undock
2015-02-01 00:21:00+00,15947,473,dock
2015-02-01 00:21:00+00,21321,502,dock
2015-02-01 00:21:00+00,16780,317,undock
2015-02-01 00:21:00+00,17341,461,undock
2015-02-01 00:22:00+00,16984,507,dock
2015-02-01 00:22:00+00,16983,477,undock
2015-02-01 00:22:00+00,14958,317,undock
2015-02-01 00:23:00+00,17107,331,dock
2015-02-01 00:23:00+00,16391,518,dock
2015-02-01 00:23:00+00,16861,401,dock
2015-02-01 00:23:00+00,15706,531,undock
2015-02-01 00:23:00+00,14884,300,undock
2015-02-01 00:23:00+00,21400,300,undock
2015-02-01 00:23:00+00,19936,300,undock
2015-02-01 00:23:00+00,17105,223,undock
2015-02-01 00:23:00+00,19261,531,undock
2015-02-01 00:24:00+00,14982,488,dock
2015-02-01 00:24:00+00,20732,472,undock
2015-02-01 00:24:00+00,19766,173,undock
2015-02-01 00:24:00+00,16196,487,undock
2015-02-01 00:25:00+00,14958,393,dock
2015-02-01 00:26:00+00,15173,504,dock
2015-02-01 00:26:00+00,15997,305,dock
2015-02-01 00:26:00+00,17627,444,undock
2015-02-01 00:27:00+00,17456,307,dock
2015-02-01 00:27:00+00,16496,488,dock
2015-02-01 00:27:00+00,21516,223,dock
2015-02-01 00:27:00+00,18727,477,dock
2015-02-01 00:28:00+00,19261,403,dock
2015-02-01 00:28:00+00,16196,2012,dock
2015-02-01 00:28:00+00,16731,515,undock
2015-02-01 00:29:00+00,17105,293,dock
2015-02-01 00:30:00+00,21289,411,dock
2015-02-01 00:30:00+00,17505,327,undock
2015-02-01 00:30:00+00,18324,243,undock
2015-02-01 00:31:00+00,16983,513,dock
2015-02-01 00:31:00+00,17627,442,dock
2015-02-01 00:31:00+00,18474,328,undock
2015-02-01 00:32:00+00,16917,531,dock
2015-02-01 00:32:00+00,14884,531,dock
2015-02-01 00:32:00+00,21400,531,dock
2015-02-01 00:32:00+00,19936,531,dock
2015-02-01 00:32:00+00,19766,442,dock
2015-02-01 00:32:00+00,19705,168,undock
2015-02-01 00:32:00+00,15525,312,undock
2015-02-01 00:32:00+00,20142,254,undock
2015-02-01 00:32:00+00,15196,312,undock
2015-02-01 00:33:00+00,15924,528,dock
2015-02-01 00:33:00+00,16780,358,dock
2015-02-01 00:34:00+00,17341,252,dock
2015-02-01 00:34:00+00,14663,539,undock
2015-02-01 00:35:00+00,20732,237,dock
2015-02-01 00:35:00+00,18324,261,dock
2015-02-01 00:35:00+00,17299,465,undock
2015-02-01 00:35:00+00,19756,383,undock
2015-02-01 00:36:00+00,15196,307,dock
2015-02-01 00:36:00+00,21592,237,undock
2015-02-01 00:36:00+00,19244,447,undock
2015-02-01 00:36:00+00,17886,223,undock
2015-02-01 00:37:00+00,16731,466,dock
2015-02-01 00:38:00+00,17505,195,dock
2015-02-01 00:38:00+00,17109,504,undock
2015-02-01 00:39:00+00,15706,127,dock
2015-02-01 00:39:00+00,15525,511,dock
2015-02-01 00:39:00+00,20142,438,dock
2015-02-01 00:40:00+00,19756,470,dock
2015-02-01 00:40:00+00,20150,285,undock
2015-02-01 00:40:00+00,17289,285,undock
2015-02-01 00:41:00+00,18252,326,undock
2015-02-01 00:42:00+00,18903,127,dock
2015-02-01 00:42:00+00,15815,457,dock
2015-02-01 00:42:00+00,19570,290,undock
2015-02-01 00:42:00+00,14924,290,undock
2015-02-01 00:42:00+00,21115,434,undock
2015-02-01 00:42:00+00,20220,335,undock
2015-02-01 00:43:00+00,17886,237,dock
2015-02-01 00:44:00+00,19705,489,dock
2015-02-01 00:44:00+00,19244,441,dock
2015-02-01 00:44:00+00,18410,539,undock
2015-02-01 00:45:00+00,21592,472,dock
2015-02-01 00:46:00+00,17109,527,dock
2015-02-01 00:46:00+00,18252,511,dock
