Demographic,Borough,Cohort,Total Cohort,Grads,Regents,Advanced Regents,Local,Dropped Out
Borough Total,Bronx,2001,11453,4913,2644,998,2271,2438
Borough Total,Bronx,2002,12032,5328,3118,992,2217,2140
Borough Total,Bronx,2003,13632,6389,3861,1255,2528,2472
Borough Total,Bronx,2004,14364,7448,4625,1395,2823,2303
Borough Total,Bronx,2005,15175,8229,5618,1544,2611,2147
Borough Total,Bronx,2006,15579,8524,6312,1558,2212,2402
Borough Total,Brooklyn,2001,19961,9758,6177,2829,3591,3547
Borough Total,Brooklyn,2002,20808,10337,7050,2865,3298,3369
Borough Total,Brooklyn,2003,21334,11064,7711,3239,3353,3198
Borough Total,Brooklyn,2004,22353,12303,8872,3741,3431,2973
Borough Total,Brooklyn,2005,22331,12603,9488,3618,3115,2578
Borough Total,Brooklyn,2006,22177,13040,10440,3717,2600,2731
Borough Total,Manhattan,2001,12670,7480,4963,1851,2519,1962
Borough Total,Manhattan,2002,13463,7746,5497,1872,2259,1743
Borough Total,Manhattan,2003,13879,7613,5499,2527,2114,1729
Borough Total,Manhattan,2004,15127,8780,6449,2811,2331,1842
Borough Total,Manhattan,2005,15843,9816,7623,2673,2192,1597
Borough Total,Manhattan,2006,16416,10411,8715,2781,1696,1684
Borough Total,Queens,2001,17011,9180,6452,2694,2738,2696
Borough Total,Queens,2002,18262,9869,7250,2837,2624,2816
Borough Total,Queens,2003,18415,10455,7917,3395,2538,2718
Borough Total,Queens,2004,18725,10922,8450,3604,2472,2505
Borough Total,Queens,2005,19511,11863,9290,3618,2573,2435
Borough Total,Queens,2006,19558,12465,10285,3637,2180,2256
Borough Total,Staten Island,2001,3872,2565,1901,876,665,417
Borough Total,Staten Island,2002,4134,2721,2040,861,683,426
Borough Total,Staten Island,2003,4218,2812,2169,883,643,374
Borough Total,Staten Island,2004,4142,2788,2220,1029,568,381
Borough Total,Staten Island,2005,4460,3098,2467,1059,631,362
Borough Total,Staten Island,2006,4603,3346,2818,1192,528,414
English Language Learners,Bronx,2001,1984,388,78,10,311,592
English Language Learners,Bronx,2002,1693,333,77,7,257,509
English Language Learners,Bronx,2003,1905,391,95,12,296,586
English Language Learners,Bronx,2004,1894,640,214,27,426,437
English Language Learners,Bronx,2005,1940,694,317,53,377,357
English Language Learners,Bronx,2006,2143,791,396,30,395,429
English Language Learners,Brooklyn,2001,2543,691,268,116,424,658
English Language Learners,Brooklyn,2002,1902,428,145,46,287,622
English Language Learners,Brooklyn,2003,1899,448,217,82,231,542
English Language Learners,Brooklyn,2004,2055,730,381,142,349,447
English Language Learners,Brooklyn,2005,2220,864,474,177,390,409
English Language Learners,Brooklyn,2006,2181,905,641,186,264,433
English Language Learners,Manhattan,2001,1956,691,237,49,454,527
English Language Learners,Manhattan,2002,1397,331,133,17,202,392
English Language Learners,Manhattan,2003,1761,489,195,51,294,453
English Language Learners,Manhattan,2004,1854,698,344,124,354,351
English Language Learners,Manhattan,2005,1909,815,462,148,352,365
English Language Learners,Manhattan,2006,1977,817,563,169,254,411
English Language Learners,Queens,2001,2689,873,362,136,512,673
English Language Learners,Queens,2002,1963,476,223,58,254,614
English Language Learners,Queens,2003,2127,579,314,112,265,621
English Language Learners,Queens,2004,2456,919,537,183,382,523
English Language Learners,Queens,2005,2508,1049,630,202,419,516
English Language Learners,Queens,2006,2598,1168,793,195,375,497
English Language Learners,Staten Island,2001,171,42,16,4,26,38
English Language Learners,Staten Island,2002,153,41,17,4,24,39
English Language Learners,Staten Island,2003,201,74,46,5,28,36
English Language Learners,Staten Island,2004,153,36,15,2,21,38
English Language Learners,Staten Island,2005,187,59,25,3,34,41
English Language Learners,Staten Island,2006,153,74,44,13,30,24
English Proficient Students,Bronx,2001,9469,4525,2566,988,1960,1846
English Proficient Students,Bronx,2002,10339,4995,3041,985,1960,1631
English Proficient Students,Bronx,2003,11727,5998,3766,1243,2232,1886
English Proficient Students,Bronx,2004,12470,6808,4411,1368,2397,1866
English Proficient Students,Bronx,2005,13235,7535,5301,1491,2234,1790
English Proficient Students,Bronx,2006,13436,7733,5916,1528,1817,1973
English Proficient Students,Brooklyn,2001,17418,9067,5909,2713,3167,2889
English Proficient Students,Brooklyn,2002,18906,9909,6905,2819,3011,2747
English Proficient Students,Brooklyn,2003,19435,10616,7494,3157,3122,2656
English Proficient Students,Brooklyn,2004,20298,11573,8491,3599,3082,2526
English Proficient Students,Brooklyn,2005,20111,11739,9014,3441,2725,2169
English Proficient Students,Brooklyn,2006,19996,12135,9799,3531,2336,2298
English Proficient Students,Manhattan,2001,10714,6789,4726,1802,2065,1435
English Proficient Students,Manhattan,2002,12066,7415,5364,1855,2057,1351
English Proficient Students,Manhattan,2003,12118,7124,5304,2476,1820,1276
English Proficient Students,Manhattan,2004,13273,8082,6105,2687,1977,1491
English Proficient Students,Manhattan,2005,13934,9001,7161,2525,1840,1232
English Proficient Students,Manhattan,2006,14439,9594,8152,2612,1442,1273
English Proficient Students,Queens,2001,14322,8307,6090,2558,2226,2023
English Proficient Students,Queens,2002,16299,9393,7027,2779,2370,2202
English Proficient Students,Queens,2003,16288,9876,7603,3283,2273,2097
English Proficient Students,Queens,2004,16269,10003,7913,3421,2090,1982
English Proficient Students,Queens,2005,17003,10814,8660,3416,2154,1919
English Proficient Students,Queens,2006,16960,11297,9492,3442,1805,1759
English Proficient Students,Staten Island,2001,3701,2523,1885,872,639,379
English Proficient Students,Staten Island,2002,3981,2680,2023,857,659,387
English Proficient Students,Staten Island,2003,4017,2738,2123,878,615,338
English Proficient Students,Staten Island,2004,3989,2752,2205,1027,547,343
English Proficient Students,Staten Island,2005,4273,3039,2442,1056,597,321
English Proficient Students,Staten Island,2006,4450,3272,2774,1179,498,390
Special Education,Bronx,2001,2259,309,40,6,271,866
Special Education,Bronx,2002,1594,255,41,1,214,489
Special Education,Bronx,2003,2273,362,60,8,302,593
Special Education,Bronx,2004,2388,518,127,15,391,553
Special Education,Bronx,2005,2665,585,200,16,385,588
Special Education,Bronx,2006,2889,741,261,17,480,655
Special Education,Brooklyn,2001,2702,402,69,11,339,947
Special Education,Brooklyn,2002,2169,325,79,13,246,584
Special Education,Brooklyn,2003,2796,469,118,30,351,650
Special Education,Brooklyn,2004,3066,603,185,35,418,649
Special Education,Brooklyn,2005,3021,649,217,41,432,649
Special Education,Brooklyn,2006,3183,789,310,43,479,666
Special Education,Manhattan,2001,1586,292,58,5,235,553
Special Education,Manhattan,2002,1159,234,76,10,158,303
Special Education,Manhattan,2003,1503,281,90,18,191,333
Special Education,Manhattan,2004,1847,454,163,21,291,418
Special Education,Manhattan,2005,1916,514,202,20,312,382
Special Education,Manhattan,2006,2170,686,327,26,359,424
Special Education,Queens,2001,1999,419,63,14,359,643
Special Education,Queens,2002,1366,294,75,8,219,385
Special Education,Queens,2003,1782,343,72,8,271,379
Special Education,Queens,2004,2099,495,171,28,324,442
Special Education,Queens,2005,2366,629,232,21,397,502
Special Education,Queens,2006,2345,643,259,29,384,489
Special Education,Staten Island,2001,622,184,26,2,158,160
Special Education,Staten Island,2002,475,158,28,3,131,91
Special Education,Staten Island,2003,636,174,52,8,122,88
Special Education,Staten Island,2004,712,216,73,12,143,118
Special Education,Staten Island,2005,777,283,107,15,176,127
Special Education,Staten Island,2006,778,308,113,13,195,141
General Education,Bronx,2001,9194,4604,2604,992,2000,1572
General Education,Bronx,2002,10438,5073,3077,991,2003,1651
General Education,Bronx,2003,11359,6027,3801,1247,2226,1879
General Education,Bronx,2004,11976,6930,4498,1380,2432,1750
General Education,Bronx,2005,12510,7644,5418,1528,2226,1559
General Education,Bronx,2006,12690,7783,6051,1541,1732,1747
General Education,Brooklyn,2001,17259,9356,6108,2818,3252,2600
General Education,Brooklyn,2002,18639,10012,6971,2852,3052,2785
General Education,Brooklyn,2003,18538,10595,7593,3209,3002,2548
General Education,Brooklyn,2004,19287,11700,8687,3706,3013,2324
General Education,Brooklyn,2005,19310,11954,9271,3577,2683,1929
General Education,Brooklyn,2006,18994,12251,10130,3674,2121,2065
General Education,Manhattan,2001,11084,7188,4905,1846,2284,1409
General Education,Manhattan,2002,12304,7512,5421,1862,2101,1440
General Education,Manhattan,2003,12376,7332,5409,2509,1923,1396
General Education,Manhattan,2004,13280,8326,6286,2790,2040,1424
General Education,Manhattan,2005,13927,9302,7421,2653,1880,1215
General Education,Manhattan,2006,14246,9725,8388,2755,1337,1260
General Education,Queens,2001,15012,8761,6389,2680,2379,2053
General Education,Queens,2002,16896,9575,7175,2829,2405,2431
General Education,Queens,2003,16633,10112,7845,3387,2267,2339
General Education,Queens,2004,16626,10427,8279,3576,2148,2063
General Education,Queens,2005,17145,11234,9058,3597,2176,1933
General Education,Queens,2006,17213,11822,10026,3608,1796,1767
General Education,Staten Island,2001,3250,2381,1875,874,507,257
General Education,Staten Island,2002,3659,2563,2012,858,552,335
General Education,Staten Island,2003,3582,2638,2117,875,521,286
General Education,Staten Island,2004,3430,2572,2147,1017,425,263
General Education,Staten Island,2005,3683,2815,2360,1044,455,235
General Education,Staten Island,2006,3825,3038,2705,1179,333,273
Asian,Bronx,2001,638,479,396,314,84,60
Asian,Bronx,2002,681,497,451,350,46,39
Asian,Bronx,2003,672,552,487,382,65,35
Asian,Bronx,2004,748,624,560,421,64,23
Asian,Bronx,2005,753,657,599,459,58,28
Asian,Bronx,2006,830,707,666,491,41,34
Asian,Brooklyn,2001,2418,1543,1305,930,239,303
Asian,Brooklyn,2002,2676,1765,1557,1052,209,327
Asian,Brooklyn,2003,2688,1862,1665,1114,197,274
Asian,Brooklyn,2004,2888,2097,1901,1315,196,249
Asian,Brooklyn,2005,2954,2144,1957,1303,187,214
Asian,Brooklyn,2006,2949,2296,2176,1437,120,190
Asian,Manhattan,2001,1581,1265,1038,622,227,97
Asian,Manhattan,2002,1748,1374,1224,706,151,90
Asian,Manhattan,2003,1666,1296,1168,875,128,79
Asian,Manhattan,2004,2057,1621,1473,1063,148,93
Asian,Manhattan,2005,2073,1697,1568,1062,129,93
Asian,Manhattan,2006,2113,1739,1658,1119,81,115
Asian,Queens,2001,4222,2836,2258,1273,580,452
Asian,Queens,2002,4613,3073,2538,1349,537,482
Asian,Queens,2003,4745,3335,2895,1701,440,467
